Grant,Organization Name,Focus Area,Amount,Date,,,,,,,,,,,,,,
Soko Tierschutz — Factory Farm Investigations (2020),Soko Tierschutz,Farm Animal Welfare,297291,2/1/2020,,,,,,,,,,,,,,
Wilson Center — AI Policy Seminar Series (February 2020),The Wilson Center,Potential Risks from Advanced Artificial Intelligence,368440,2/1/2020,,,,,,,,,,,,,,
Johns Hopkins Center for Health Security — Masters and PhD Program Support,Johns Hopkins Center for Health Security,Biosecurity and Pandemic Preparedness,1860000,2/1/2020,,,,,,,,,,,,,,
WestExec — Report on Assurance in Machine Learning Systems,WestExec,Potential Risks from Advanced Artificial Intelligence,390000,2/1/2020,,,,,,,,,,,,,,
Stanford University — Coronavirus Drug Research (February 2020) (Jeffrey Glenn),Stanford University,Scientific Research,165000,2/1/2020,,,,,,,,,,,,,,
UC Davis — Malaria Gene Drive Feasibility Analysis (Greg Lanzaro),UC Davis,Scientific Research,1500000,2/1/2020,,,,,,,,,,,,,,
University of Oxford — New Office for Effective Altruism Organizations,University of Oxford ,Other areas,776271,2/1/2020,,,,,,,,,,,,,,
Future of Humanity Institute — New DPhil Positions,Future of Humanity Institute ,Global Catastrophic Risks,939263,2/1/2020,,,,,,,,,,,,,,
Texas Organizing Project PAC — General Support,Texas Organizing Project PAC,Criminal Justice Reform,100000,2/1/2020,,,,,,,,,,,,,,
"80,000 Hours — General Support (2020)","80,000 Hours",Other areas,3457284,2/1/2020,,,,,,,,,,,,,,
Machine Intelligence Research Institute — General Support (2020),Machine Intelligence Research Institute,Potential Risks from Advanced Artificial Intelligence,7703750,2/1/2020,,,,,,,,,,,,,,
CDC Foundation — Reproductive Health Data Analysis (Dmitry Kissin),CDC Foundation,Scientific Research,662072,2/1/2020,,,,,,,,,,,,,,
Malaria Consortium — Seasonal Malaria Chemoprevention Programs (February 2020),Malaria Consortium,Global Health & Development,33926000,2/1/2020,,,,,,,,,,,,,,
gui2de — Zusha! Road Safety Campaign (February 2020),"Georgetown University Initiative on Innovation, Development, and Evaluation",Global Health & Development,100000,2/1/2020,,,,,,,,,,,,,,
Reform Jails and Community Reinvestment Initiative — Reform L.A. Jails Ballot Measure (2020) ,Reform Jails and Community Reinvestment Initiative,Criminal Justice Reform,300000,2/1/2020,,,,,,,,,,,,,,
Commonwealth Veterinary Association — Farm Animal Welfare,Commonwealth Veterinary Association,Farm Animal Welfare,15000,2/1/2020,,,,,,,,,,,,,,
"Run, George, Run — General Support","Run, George, Run",Criminal Justice Reform,70000,2/1/2020,,,,,,,,,,,,,,
The Leadership Conference on Civil and Human Rights — Federal Criminal Justice Reform Advocacy (February 2020),The Leadership Conference on Civil and Human Rights,Criminal Justice Reform,200000,2/1/2020,,,,,,,,,,,,,,
Amistad Law Project — General Support (February 2020),Amistad Law Project,Criminal Justice Reform,25000,2/1/2020,,,,,,,,,,,,,,
Center for Applied Rationality — General Support (2020),Center for Applied Rationality,Other areas,375000,2/1/2020,,,,,,,,,,,,,,
Youth and Families Taking Power — General Support,Youth and Families Taking Power,Criminal Justice Reform,80000,2/1/2020,,,,,,,,,,,,,,
Georgetown Center for Global Health Science and Security — General Support (February 2020),Georgetown Center for Global Health Science and Security,Biosecurity and Pandemic Preparedness,1200000,2/1/2020,,,,,,,,,,,,,,
Animal Equality — Cage-Free and Broiler Welfare,Animal Equality ,Farm Animal Welfare,1901000,2/1/2020,,,,,,,,,,,,,,
Centre for Effective Altruism — Support for The Precipice,Center for Effective Altruism ,Other areas,38350,1/1/2020,,,,,,,,,,,,,,
Niskanen Center — Research on Immigration Policy (2020),Niskanen Center,Immigration Policy,200000,1/1/2020,,,,,,,,,,,,,,
Centre for Effective Altruism — General Support and Community-Building Grants (2020),Centre for Effective Altruism,Other areas,4146795,1/1/2020,,,,,,,,,,,,,,
Dao Foods — Plant-Based Startup Incubator,Dao Foods,Farm Animal Welfare,215000,1/1/2020,,,,,,,,,,,,,,
Krystal Caldwell and Sydney Heiss — Farm Animal Welfare Research,,Farm Animal Welfare,156781,1/1/2020,,,,,,,,,,,,,,
Stanford University — AI Safety Seminar,Stanford University,Potential Risks from Advanced Artificial Intelligence,6500,1/1/2020,,,,,,,,,,,,,,
Georgetown University — Center on Poverty and Inequality,The Center on Poverty and Inequality,Macroeconomic Stabilization Policy,50000,1/1/2020,,,,,,,,,,,,,,
Sightsavers — Deworming Programs (January 2020),Sightsavers,Global Health & Development,2710100,1/1/2020,,,,,,,,,,,,,,
ActAsia — Reduce Fur Demand in Asia (2020),ACTAsia,Farm Animal Welfare,300000,1/1/2020,,,,,,,,,,,,,,
Berkeley Existential Risk Initiative — General Support,Berkeley Existential Risk Initiative,Potential Risks from Advanced Artificial Intelligence,150000,1/1/2020,,,,,,,,,,,,,,
Certified Humane — Farm Animal Welfare Certification Work,Certified Humane,Farm Animal Welfare,210000,1/1/2020,,,,,,,,,,,,,,
World Animal Protection — Farm Animal Welfare in Southeast Asia,World Animal Protection,Farm Animal Welfare,400000,1/1/2020,,,,,,,,,,,,,,
Essere Animali — Farm Animal Welfare Work in Italy (2020),Essere Animali,Farm Animal Welfare,462974,1/1/2020,,,,,,,,,,,,,,
Rethink Priorities — Farm Animal Welfare Research (2020),Rethink Priorities,Farm Animal Welfare,910000,1/1/2020,,,,,,,,,,,,,,
YIMBY Law — General Support,YIMBY Law,Land Use Reform,100000,1/1/2020,,,,,,,,,,,,,,
RAND Corporation — Research on the State of AI Assurance Methods,The RAND Corporation ,Potential Risks from Advanced Artificial Intelligence,30751,1/1/2020,,,,,,,,,,,,,,
GiveWell — General Support (January 2020),GiveWell,Global Health & Development,2245570,1/1/2020,,,,,,,,,,,,,,
University of Missouri — Animal Welfare Research,University of Missouri ,Farm Animal Welfare,189000,1/1/2020,,,,,,,,,,,,,,
Texas Inmate Families Association — General Support (2020),Texas Inmate Families Association,Criminal Justice Reform,120000,1/1/2020,,,,,,,,,,,,,,
Development Media International — General Support (January 2020),Development Media International,Global Health & Development,100000,1/1/2020,,,,,,,,,,,,,,
Press Shop — Support for Human Compatible,Press Shop,Potential Risks from Advanced Artificial Intelligence,17000,1/1/2020,,,,,,,,,,,,,,
Animal Charity Evaluators — General Support (2019),Animal Charity Evaluators,Farm Animal Welfare,650000,1/1/2020,,,,,,,,,,,,,,
Vegan Women Summit — General Support,Vegan Women Summit,Farm Animal Welfare,5000,1/1/2020,,,,,,,,,,,,,,
FAI Farms — Cage-Free Egg Investigation,FAI Farms,Farm Animal Welfare,105000,1/1/2020,,,,,,,,,,,,,,
Center for Welfare Metrics — Impacts of Animal Welfare Reforms (2020) ,Center for Welfare Metrics,Farm Animal Welfare,784586,1/1/2020,,,,,,,,,,,,,,
Ought — General Support (2020),Ought,Potential Risks from Advanced Artificial Intelligence,1593333,1/1/2020,,,,,,,,,,,,,,
Environmental & Animal Society of Taiwan — Farm Animal Welfare Campaigns,Environmental & Animal Society of Taiwan,Farm Animal Welfare,521000,1/1/2020,,,,,,,,,,,,,,
National Council for Incarcerated and Formerly Incarcerated Women and Girls — Regranting to Promising Projects,National Council for Incarcerated and Formerly Incarcerated Women and Girls,Criminal Justice Reform,500000,1/1/2020,,,,,,,,,,,,,,
Global Alliance for Improved Nutrition — Universal Salt Iodization (January 2020),Global Alliance for Improved Nutrition,Global Health & Development,100000,1/1/2020,,,,,,,,,,,,,,
Helen Keller International — Vitamin A Supplementation (January 2020),Helen Keller International,Global Health & Development,9709000,1/1/2020,,,,,,,,,,,,,,
A La Defensa — Prosecutor Accountability (2020),A La Defensa,Criminal Justice Reform,125000,1/1/2020,,,,,,,,,,,,,,
Jason Crawford — The Roots of Progress,Jason Crawford,Other areas,75000,1/1/2020,,,,,,,,,,,,,,
LA Voice — Prosecutor Accountability,LA Voice,Criminal Justice Reform,150000,1/1/2020,,,,,,,,,,,,,,
Living Goods — General Support (January 2020),Living Goods,Global Health & Development,100000,1/1/2020,,,,,,,,,,,,,,
theguardian.org — Journalism on Factory Farming and Animal Cruelty (2020),theguardian.org,Farm Animal Welfare,900000,1/1/2020,,,,,,,,,,,,,,
Food Fortification Initiative — General Support (December 2019),Food Fortification Initiative,Global Health & Development,100000,12/1/2019,,,,,,,,,,,,,,
UC Berkeley — AI Safety Research (2019),UC Berkeley,Potential Risks from Advanced Artificial Intelligence,1111000,12/1/2019,,,,,,,,,,,,,,
Charity Science Health — Exit Grant,Charity Science Health,Global Health & Development,214425,12/1/2019,,,,,,,,,,,,,,
Riverside Justice Table — Prosecutor Accountability,Riverside Justice Table,Criminal Justice Reform,275000,12/1/2019,,,,,,,,,,,,,,
Iodine Global Network — General Support (December 2019),Iodine Global Network,Global Health & Development,100000,12/1/2019,,,,,,,,,,,,,,
The Good Food Institute — International Work ,The Good Food Institute,Farm Animal Welfare,4000000,12/1/2019,,,,,,,,,,,,,,
Debt Collective — Criminal Justice Reform Work ,The Debt Collective ,Criminal Justice Reform,75000,12/1/2019,,,,,,,,,,,,,,
Impact Justice — Restorative Justice Project (2019),Impact Justice,Criminal Justice Reform,4000000,12/1/2019,,,,,,,,,,,,,,
Global Animal Partnership — Farm Animal Welfare Activities (2019),Global Animal Partnership,Farm Animal Welfare,1000000,12/1/2019,,,,,,,,,,,,,,
Alliance for Safety and Justice — General Support (2019),Alliance for Safety and Justice,Criminal Justice Reform,10000000,12/1/2019,,,,,,,,,,,,,,
Project Healthy Children — General Support (December 2019),Project Healthy Children,Global Health & Development,100000,12/1/2019,,,,,,,,,,,,,,
Good Films Impact — “Just Mercy” Engagement,Good Films Impact ,Criminal Justice Reform,125000,12/1/2019,,,,,,,,,,,,,,
Evidence Action — Dispensers for Safe Water Program (2019),Evidence Action,Global Health & Development,100000,12/1/2019,,,,,,,,,,,,,,
GiveDirectly — General Support (December 2019),GiveDirectly,Global Health & Development,2500000,12/1/2019,,,,,,,,,,,,,,
Against Malaria Foundation — General Support (December 2019),Against Malaria Foundation,Global Health & Development,2500000,12/1/2019,,,,,,,,,,,,,,
The END Fund — General Support (December 2019) ,The END Fund,Global Health & Development,2500000,12/1/2019,,,,,,,,,,,,,,
Sightline Institute — Housing and Urban Development (December 2019),Sightline Institute,Land Use Reform,600000,12/1/2019,,,,,,,,,,,,,,
Dezernat Zukunft — Monetary and Fiscal Policy in Europe (2019),Dezernat Zukunft,Macroeconomic Stabilization Policy,100000,12/1/2019,,,,,,,,,,,,,,
asha bandele — Criminal Justice Books,asha bandele,Criminal Justice Reform,335000,12/1/2019,,,,,,,,,,,,,,
National Council for Incarcerated and Formerly Incarcerated Women and Girls — General Support (December 2019),National Council for Incarcerated and Formerly Incarcerated Women and Girls,Criminal Justice Reform,2250000,12/1/2019,,,,,,,,,,,,,,
Smart Justice CA — California Criminal Justice Reform Lobbying (2019),Smart Justice CA,Criminal Justice Reform,50000,12/1/2019,,,,,,,,,,,,,,
WaitList Zero — General Support (2019), WaitList Zero,Other areas,350000,12/1/2019,,,,,,,,,,,,,,
Faith in Texas — Justice System Reform (2019),Faith in Texas ,Criminal Justice Reform,150000,12/1/2019,,,,,,,,,,,,,,
Broad Institute — Genome Editing Research (Feng Zhang),Broad Institute,Scientific Research,2500000,12/1/2019,,,,,,,,,,,,,,
Court Watch NOLA — General Support (2019),Court Watch NOLA,Criminal Justice Reform,500000,12/1/2019,,,,,,,,,,,,,,
Power Coalition for Equity and Justice — Criminal Justice Reform,Power Coalition for Equity and Justice,Criminal Justice Reform,25000,12/1/2019,,,,,,,,,,,,,,
Essie Justice Group — General Support (December 2019),Essie Justice Group,Criminal Justice Reform,3000000,12/1/2019,,,,,,,,,,,,,,
Faith in Action — Live Free Campaign (2019),Faith in Action,Criminal Justice Reform,400000,12/1/2019,,,,,,,,,,,,,,
Michigan Liberation — Prosecutor Accountability (2019),Michigan Liberation,Criminal Justice Reform,165000,12/1/2019,,,,,,,,,,,,,,
Stanford University — Global Catastrophic Risk Education,Stanford University,Global Catastrophic Risks,250000,12/1/2019,,,,,,,,,,,,,,
Worth Rises — General Support (2019),Worth Rises,Criminal Justice Reform,300000,12/1/2019,,,,,,,,,,,,,,
Working Families Organization — Prosecutor Accountability and Criminal Justice Reform ,Working Families Organization,Criminal Justice Reform,1440000,11/1/2019,,,,,,,,,,,,,,
Griffith University — Farm Animal Welfare Advocacy,Griffith University,Farm Animal Welfare,100000,11/1/2019,,,,,,,,,,,,,,
Washington Center for Equitable Growth — Macroeconomic Policy Research,Washington Center for Equitable Growth,Macroeconomic Stabilization Policy,750000,11/1/2019,,,,,,,,,,,,,,
Center for Popular Democracy — Fed Up Campaign (2019),Center for Popular Democracy,Macroeconomic Stabilization Policy,600000,11/1/2019,,,,,,,,,,,,,,
Ought — General Support (2019),Ought,Potential Risks from Advanced Artificial Intelligence,1000000,11/1/2019,,,,,,,,,,,,,,
UC Berkeley — Center for Human-Compatible AI (2019),UC Berkeley,Potential Risks from Advanced Artificial Intelligence,200000,11/1/2019,,,,,,,,,,,,,,
Cincinnati Children's Hospital Medical Center — Infant Immunome and Influenza Studies (Mary Staat),Cincinnati Children’s Hospital Medical Center,Scientific Research,9105777,11/1/2019,,,,,,,,,,,,,,
A New Way of Life — Community Education and Voter Registration,A New Way of Life,Criminal Justice Reform,200000,11/1/2019,,,,,,,,,,,,,,
"The Ahimsa Collective — ""Life Comes From It"" Fund Administration (2019)",The Ahimsa Collective,Criminal Justice Reform,155000,11/1/2019,,,,,,,,,,,,,,
Promise of Justice Initiative — East Baton Rouge Parish Prison Reform Coalition (2019),Promise of Justice Initiative,Criminal Justice Reform,170000,11/1/2019,,,,,,,,,,,,,,
Plant Based Foods Association — Grocery Store Study,Plant Based Foods Association,Farm Animal Welfare,230000,11/1/2019,,,,,,,,,,,,,,
Citizens for Juvenile Justice — General Support (2019),Citizens for Juvenile Justice ,Criminal Justice Reform,75000,11/1/2019,,,,,,,,,,,,,,
Berkeley Existential Risk Initiative — CHAI Collaboration (2019),Berkeley Existential Risk Initiative,Potential Risks from Advanced Artificial Intelligence,705000,11/1/2019,,,,,,,,,,,,,,
The Justice Collaborative — General Support (November 2019) ,The Justice Collaborative,Criminal Justice Reform,600000,11/1/2019,,,,,,,,,,,,,,
Just Liberty — General Support (November 2019),Just Liberty,Criminal Justice Reform,320000,11/1/2019,,,,,,,,,,,,,,
Movement Voter Project — Student Organizing,Movement Voter Project,Criminal Justice Reform,100000,11/1/2019,,,,,,,,,,,,,,
Ohio Voice — Vision for Ohio Fellowship,Ohio Voice,Criminal Justice Reform,210000,11/1/2019,,,,,,,,,,,,,,
Employ America — General Support (October 2019),Employ America,Macroeconomic Stabilization Policy,1000000,10/1/2019,,,,,,,,,,,,,,
SPCA Selangor — Farm Animal Welfare,SPCA Selangor,Farm Animal Welfare,134000,10/1/2019,,,,,,,,,,,,,,
Real Justice PAC — Criminal Justice Reform (October 2019),Real Justice PAC,Criminal Justice Reform,750000,10/1/2019,,,,,,,,,,,,,,
The Soze Agency — Right of Return Fellowship (2019),The Soze Agency ,Criminal Justice Reform,320000,10/1/2019,,,,,,,,,,,,,,
Citizen Action of New York — Criminal Justice Reform,Citizen Action of New York,Criminal Justice Reform,510000,10/1/2019,,,,,,,,,,,,,,
Center for Global Development — Impact Evaluation Case Studies,Center for Global Development,Global Health & Development,100000,10/1/2019,,,,,,,,,,,,,,
Humane Society International — African Swine Fever Training,Humane Society International,Farm Animal Welfare,13145,10/1/2019,,,,,,,,,,,,,,
Future of Life Institute — General Support (2019),Future of Life Institute,Global Catastrophic Risks,100000,10/1/2019,,,,,,,,,,,,,,
Anima International — Chicken Welfare Campaigns,Anima International,Farm Animal Welfare,1700000,10/1/2019,,,,,,,,,,,,,,
Chicago Community Bond Fund — Support for Coalition to End Money Bond,Chicago Community Bond Fund,Criminal Justice Reform,170000,10/1/2019,,,,,,,,,,,,,,
UC Berkeley — Alternative Meats Lab (October 2019),UC Berkeley,Farm Animal Welfare,700000,10/1/2019,,,,,,,,,,,,,,
Texas Organizing Project — Criminal Justice Reform (2019),Texas Organizing Project,Criminal Justice Reform,4200000,10/1/2019,,,,,,,,,,,,,,
Texas Freedom Network — Texas Rising Program (2019),Texas Freedom Network,Criminal Justice Reform,150000,10/1/2019,,,,,,,,,,,,,,
Oxford University — Animal Welfare Research,Oxford University,Farm Animal Welfare,41800,10/1/2019,,,,,,,,,,,,,,
New Virginia Majority — Criminal Justice Reform (October 2019),New Virginia Majority Education Fund,Criminal Justice Reform,266000,10/1/2019,,,,,,,,,,,,,,
American Conservative Union Foundation — Criminal Justice Reform (2019),American Conservative Union Foundation,Criminal Justice Reform,225000,10/1/2019,,,,,,,,,,,,,,
Quest for Democracy Fund — General Support,Quest for Democracy Fund,Criminal Justice Reform,250000,10/1/2019,,,,,,,,,,,,,,
Royal Society for the Prevention of Cruelty to Animals — Organizational Development,Royal Society for the Prevention of Cruelty to Animals,Farm Animal Welfare,36957,10/1/2019,,,,,,,,,,,,,,
Momentum — Criminal Justice Reform Trainings (2019),Momentum,Criminal Justice Reform,25000,10/1/2019,,,,,,,,,,,,,,
Reclaim Philadelphia — Judge Accountability Work (2019),Reclaim Philadelphia,Criminal Justice Reform,170000,9/1/2019,,,,,,,,,,,,,,
Movement for Family Power — General Support,Movement for Family Power,Criminal Justice Reform,120000,9/1/2019,,,,,,,,,,,,,,
Centre for Effective Altruism — General Support and Community-Building Grants (2019),Centre for Effective Altruism,Other areas,1755921,9/1/2019,,,,,,,,,,,,,,
Animal Kingdom Foundation — Corporate Campaigns (September 2019),Animal Kingdom Foundation,Farm Animal Welfare,220866,9/1/2019,,,,,,,,,,,,,,
"Run, George, Run — Los Angeles District Attorney Recruitment","Run, George, Run",Criminal Justice Reform,25000,9/1/2019,,,,,,,,,,,,,,
Plant Based Foods Association — State-Level Policy (2019),Plant Based Foods Association,Farm Animal Welfare,625000,9/1/2019,,,,,,,,,,,,,,
"Johns Hopkins Center for Health Security — Biosecurity, Global Health Security, and Global Catastrophic Risks (2019)",Johns Hopkins Center for Health Security,Biosecurity and Pandemic Preparedness,19500000,9/1/2019,,,,,,,,,,,,,,
EA Scholarships — Scholarship Support (2019),EA Scholarships,Other areas,49676,9/1/2019,,,,,,,,,,,,,,
Color Of Change Education Fund — Criminal Justice Reform (2019),Color Of Change Education Fund,Criminal Justice Reform,2500000,9/1/2019,,,,,,,,,,,,,,
Free Hearts — Criminal Justice Reform,Free Hearts,Criminal Justice Reform,150000,9/1/2019,,,,,,,,,,,,,,
FAI Farms — Promoting Poultry Welfare and Cage-Free Eggs in China,FAI Farms,Farm Animal Welfare,132400,9/1/2019,,,,,,,,,,,,,,
Compassion in World Farming — Fish Welfare and Efforts to End Cages,Compassion in World Farming,Farm Animal Welfare,2169429,9/1/2019,,,,,,,,,,,,,,
National Council for Incarcerated and Formerly Incarcerated Women and Girls — FreeHer Conference,National Council for Incarcerated and Formerly Incarcerated Women and Girls,Criminal Justice Reform,50000,9/1/2019,,,,,,,,,,,,,,
Global Food Partners —  General Support ,Global Food Partners,Farm Animal Welfare,3514761,9/1/2019,,,,,,,,,,,,,,
LatinoJustice — Work to End Mass Incarceration (2019) ,LatinoJustice,Criminal Justice Reform,400000,8/1/2019,,,,,,,,,,,,,,
Dignity and Power Now — JusticeLA Campaign (2019),Dignity and Power Now,Criminal Justice Reform,500000,8/1/2019,,,,,,,,,,,,,,
International Cooperation Committee of Animal Welfare — Farm Animal Welfare in Asia,International Cooperation Committee of Animal Welfare,Farm Animal Welfare,1099020,8/1/2019,,,,,,,,,,,,,,
Forward Justice — Criminal Justice Reform Advocacy and Organizing (2019),Forward Justice,Criminal Justice Reform,450000,8/1/2019,,,,,,,,,,,,,,
Quest for Democracy Fund — Just Mercy,Quest for Democracy Fund,Criminal Justice Reform,200000,8/1/2019,,,,,,,,,,,,,,
Colorado Criminal Justice Reform Coalition — General Support (2019),Colorado Criminal Justice Reform Coalition,Criminal Justice Reform,400000,8/1/2019,,,,,,,,,,,,,,
Crate-Free Illinois — Campaigning Against Gestation Crates,Crate-Free Illinois,Farm Animal Welfare,94720,8/1/2019,,,,,,,,,,,,,,
The Justice Collaborative — Just Mercy,The Justice Collaborative,Criminal Justice Reform,300000,8/1/2019,,,,,,,,,,,,,,
The Justice Collaborative — General Support (August 2019),The Justice Collaborative,Criminal Justice Reform,7800000,8/1/2019,,,,,,,,,,,,,,
Essie Justice Group — General Support (August 2019),Essie Justice Group,Criminal Justice Reform,150000,8/1/2019,,,,,,,,,,,,,,
Community Justice Exchange — Technical Assistance and Campaign Support,Community Justice Exchange,Criminal Justice Reform,900000,8/1/2019,,,,,,,,,,,,,,
Voters Organized to Educate — General Support (2019),Voters Organized to Educate,Criminal Justice Reform,950000,8/1/2019,,,,,,,,,,,,,,
"We Got Us Now — Leadership, Training, and Planning Support",We Got Us Now,Criminal Justice Reform,150000,8/1/2019,,,,,,,,,,,,,,
Kyushu University — Research on Mammalian Reproduction (Katsuhiko Hayashi),Kyushu University,Scientific Research,2500000,8/1/2019,,,,,,,,,,,,,,
World Animal Protection — Broiler Chicken Welfare (August 2019),World Animal Protection,Farm Animal Welfare,557446,8/1/2019,,,,,,,,,,,,,,
Alliance for Safety and Justice — Campaign Academy,Alliance for Safety and Justice,Criminal Justice Reform,250000,8/1/2019,,,,,,,,,,,,,,
Greater Greater Washington — Housing and Land Use Reform (2019),Greater Greater Washington,Land Use Reform,300000,8/1/2019,,,,,,,,,,,,,,
Albert Schweitzer Foundation — General Support (2019),Albert Schweitzer Foundation,Farm Animal Welfare,1600000,8/1/2019,,,,,,,,,,,,,,
Project NIA — Transformative Justice Work Led by Mariame Kaba (2019),Project NIA,Criminal Justice Reform,165000,8/1/2019,,,,,,,,,,,,,,
Court Watch NOLA — Coalition Coordination (2019),Court Watch NOLA,Criminal Justice Reform,57000,8/1/2019,,,,,,,,,,,,,,
IDinsight — Endline Evaluation of New Incentives RCT,IDinsight,Global Health & Development,2105962,8/1/2019,,,,,,,,,,,,,,
BlackRoots Alliance — Prosecutorial Accountability (2019),BlackRoots Alliance,Criminal Justice Reform,100000,8/1/2019,,,,,,,,,,,,,,
"Trap Heals — ""Just Mercy"" Engagement",Trap Heals,Criminal Justice Reform,1075000,8/1/2019,,,,,,,,,,,,,,
The Pollination Project — Global Animal Advocacy Movement (2019),The Pollination Project,Farm Animal Welfare,362000,7/1/2019,,,,,,,,,,,,,,
California Institute of Technology — Research on Reproductive Biology (Magdalena Zernicka-Goetz),California Institute of Technology,Scientific Research,2000000,7/1/2019,,,,,,,,,,,,,,
Mijente — Criminal Justice Reform (2019),Mijente,Criminal Justice Reform,250000,7/1/2019,,,,,,,,,,,,,,
Group Nine Media – Factory Farming Videos (2019),Group Nine Media,Farm Animal Welfare,215000,7/1/2019,,,,,,,,,,,,,,
"Grassroots Leadership, Inc. — Texas Advocates for Justice Project (2019)","Grassroots Leadership, Inc.",Criminal Justice Reform,150000,7/1/2019,,,,,,,,,,,,,,
Reform Jails and Community Reinvestment Initiative — Reform L.A. Jails Ballot Measure (July 2019),Reform Jails and Community Reinvestment Initiative,Criminal Justice Reform,750000,7/1/2019,,,,,,,,,,,,,,
Effective Altruism Foundation — Research and Operations,Effective Altruism Foundation,Other areas,1000000,7/1/2019,,,,,,,,,,,,,,
Workers Center for Racial Justice — Prosecutorial Accountability in Chicago (2019),Workers Center for Racial Justice,Criminal Justice Reform,85000,7/1/2019,,,,,,,,,,,,,,
Animal Rights Center Japan — Broiler and Layer Hen Campaigns,Animal Rights Center Japan,Farm Animal Welfare,274000,7/1/2019,,,,,,,,,,,,,,
InMyWords — General Support,InMyWords,Criminal Justice Reform,21500,7/1/2019,,,,,,,,,,,,,,
Sankalpa — Farm Animal Welfare Workshop,Sankalpa,Farm Animal Welfare,22000,7/1/2019,,,,,,,,,,,,,,
The People’s Lobby Education Institute — Work on Prosecutorial Accountability in Chicago (2019),The People's Lobby Education Institute ,Criminal Justice Reform,150000,7/1/2019,,,,,,,,,,,,,,
Mercy for Animals — Corporate Campaigns (2019),Mercy for Animals,Farm Animal Welfare,5801250,7/1/2019,,,,,,,,,,,,,,
Plant-Based Meat Startups — Bootcamps in China,Plant-Based Meat Startups,Farm Animal Welfare,92000,7/1/2019,,,,,,,,,,,,,,
European Summer Program on Rationality — General Support ,European Summer Program on Rationality,Other areas,510000,7/1/2019,,,,,,,,,,,,,,
University of Southern California — Social Science Genetic Association Consortium (July 2019),University of Southern California,Scientific Research,2250000,7/1/2019,,,,,,,,,,,,,,
Justice Strategies — Criminal Justice Reform,Justice Strategies,Criminal Justice Reform,75000,7/1/2019,,,,,,,,,,,,,,
Project Peanut Butter — Ready-to-Use Therapeutic Food RCT (2019),Project Peanut Butter,Scientific Research,484785,7/1/2019,,,,,,,,,,,,,,
Eurogroup for Animals — European Union Trade Strategy ,Eurogroup for Animals,Farm Animal Welfare,700000,7/1/2019,,,,,,,,,,,,,,
Humane Society International India — Animal Welfare Reform (2019),Humane Society International India,Farm Animal Welfare,1039124,6/1/2019,,,,,,,,,,,,,,
Durham for All — Fellowship Program,Durham for All,Criminal Justice Reform,50000,6/1/2019,,,,,,,,,,,,,,
Sightline Institute — YIMBYtown (2019),Sightline Institute,Land Use Reform,50000,6/1/2019,,,,,,,,,,,,,,
Sentient Media — Digital Content Optimization Work,Sentient Media,Farm Animal Welfare,100000,6/1/2019,,,,,,,,,,,,,,
Center for Global Development — General Support (2019),Center for Global Development,Global Health & Development,3000000,6/1/2019,,,,,,,,,,,,,,
New Virginia Majority Education Fund — Criminal Justice Reform (June 2019),New Virginia Majority Education Fund,Criminal Justice Reform,200000,6/1/2019,,,,,,,,,,,,,,
Mass Liberation Project — General Support (2019),Mass Liberation Project,Criminal Justice Reform,600000,6/1/2019,,,,,,,,,,,,,,
The Ordinary People Society — General Support (2019),The Ordinary People Society,Criminal Justice Reform,150000,6/1/2019,,,,,,,,,,,,,,
Animals Australia Federation — Pig Welfare in Indonesia ,Animals Australia Federation,Farm Animal Welfare,48324,6/1/2019,,,,,,,,,,,,,,
Sinergia Animal — Southeast Asia Animal Welfare,Sinergia Animal,Farm Animal Welfare,187600,6/1/2019,,,,,,,,,,,,,,
UC Berkeley — Aging Research (Irina Conboy) (2019),UC Berkeley,Scientific Research,304000,6/1/2019,,,,,,,,,,,,,,
Penn State University — Emergency Food Research (Charles Anderson),Penn State University,Scientific Research,109063,6/1/2019,,,,,,,,,,,,,,
Federation of Indian Animal Protection Organisations — India Farm Animal Welfare (2019),Federation of Indian Animal Protection Organisations,Farm Animal Welfare,445000,6/1/2019,,,,,,,,,,,,,,
Prison Policy Initiative — General Support (2019),Prison Policy Initiative,Criminal Justice Reform,300000,6/1/2019,,,,,,,,,,,,,,
Citizen Action of New York — Public Education and Engagement ,Citizen Action of New York,Criminal Justice Reform,200000,5/1/2019,,,,,,,,,,,,,,
Prism — Criminal Justice Vertical,Prism,Criminal Justice Reform,300000,5/1/2019,,,,,,,,,,,,,,
Global Catastrophic Risks Scholarships — Scholarship Support (2019),Global Catastrophic Risks Scholarships,Global Catastrophic Risks,437800,5/1/2019,,,,,,,,,,,,,,
Law for Black Lives — Criminal Justice Reform,Law for Black Lives,Criminal Justice Reform,150000,5/1/2019,,,,,,,,,,,,,,
LatinoJustice — Texas Office for Latinx Engagement,LatinoJustice,Criminal Justice Reform,250000,5/1/2019,,,,,,,,,,,,,,
Asia Research & Engagement — Farm Animal Welfare,Asia Research & Engagement,Farm Animal Welfare,340875,5/1/2019,,,,,,,,,,,,,,
Movement Voter Project — Criminal Justice Reform,Movement Voter Project,Criminal Justice Reform,100000,5/1/2019,,,,,,,,,,,,,,
Just Media — Communications Training,Just Media,Criminal Justice Reform,15000,5/1/2019,,,,,,,,,,,,,,
